Peserta id,Waktu,Ketinggian,Temperature,Kelembaban,Tekanan,Arah Angin,Kecepatan Angin,Lintang,Bujur
621,11:37:34,48.02,42.84,33.41,463.87,0.00,0.00,-6.975646,107.630447
621,11:37:44,35.67,42.78,33.39,464.55,0.00,0.00,-6.975647,107.630393
621,11:37:54,16.79,42.71,32.57,465.59,0.00,0.00,-6.975837,107.630294
621,11:38:04,5.61,42.63,33.57,466.21,0.00,0.00,-6.975859,107.630249
621,11:38:14,5.06,42.55,33.12,466.24,0.00,0.00,-6.975931,107.630241
621,11:38:24,4.54,42.49,32.92,466.27,0.00,0.00,-6.975993,107.630241
621,11:38:34,4.63,42.42,33.91,466.26,0.00,0.00,-6.976047,107.630241
621,11:38:44,4.48,42.39,34.55,466.27,0.00,0.00,-6.976052,107.630279
621,11:38:54,5.03,42.36,34.85,466.24,0.00,0.00,-6.976126,107.630348
621,11:39:04,4.61,42.32,35.40,466.26,0.00,0.00,-6.976062,107.630348
621,11:39:14,4.66,42.34,35.81,466.26,0.00,0.00,-6.975961,107.630302
621,11:39:24,5.78,42.35,35.97,466.20,0.00,0.00,-6.975902,107.630264
621,11:39:34,4.05,42.34,35.67,466.29,0.00,0.00,-6.975907,107.630264
621,11:39:44,4.56,42.34,36.07,466.27,0.00,0.00,-6.975966,107.630271
621,11:39:54,4.50,42.36,36.06,466.27,0.00,0.00,-6.975913,107.630241
621,11:40:04,4.41,42.38,36.36,466.27,0.00,0.00,-6.975903,107.630241
621,11:40:14,4.48,42.43,36.70,466.27,0.00,0.00,-6.975900,107.630218
