Peserta id,Waktu,Ketinggian,Temperature,Kelembaban,Tekanan,Arah Angin,Kecepatan Angin,Lintang,Bujur
621,20:39:43,2.4499999999999993,24.57,81.56,467.42,93.72,0,-6.975738,107.630325
621,20:39:53,4.849999999999991,24.55,81.45,467.42,0.00,0.00,-6.975836,107.630401
621,20:40:03,7.94999999999998,24.55,81.54,467.44,153.60,1.99,-6.975852,107.630409
621,20:40:13,11.150000000000023,24.57,81.51,467.43,153.60,1.99,-6.975852,107.630409
621,20:40:23,14.150000000000066,24.55,81.34,467.44,0.00,0.00,-6.976038,107.630409
621,20:40:33,17.400000000000112,24.54,81.56,467.42,180.00,1.11,-6.976109,107.630409
621,20:40:43,20.600000000000158,24.51,81.52,467.44,0.00,0.00,-6.975989,107.630401
621,20:40:53,21.600000000000172,24.50,81.63,467.42,0.00,2.45,-6.975850,107.630409
621,20:41:03,23.050000000000193,24.48,81.72,467.43,215.83,1.51,-6.975744,107.630378
621,20:41:13,25.70000000000023,24.46,81.84,467.44,0.00,0.00,-6.975809,107.630348
621,20:41:23,28.900000000000276,24.48,81.90,467.42,180.00,2.11,-6.976066,107.630432
621,20:41:33,32.100000000000314,24.47,82.34,467.43,284.14,0.91,-6.976089,107.630416
621,20:41:43,35.00000000000015,24.47,82.07,467.43,0.00,2.22,-6.975899,107.630416
621,20:41:53,35.800000000000104,24.43,81.95,467.43,0.00,0.00,-6.975800,107.630416
621,20:42:03,36.20000000000008,24.39,82.13,467.44,300.77,2.83,-6.975615,107.630371
621,20:42:13,38.14999999999997,24.37,82.32,467.43,300.77,2.83,-6.975615,107.630371
621,20:42:23,39.89999999999987,24.39,82.38,467.44,0.00,0.00,-6.975782,107.630401
621,20:42:33,43.149999999999686,24.34,82.54,467.44,0.00,0.00,-6.976084,107.630432
621,20:42:43,46.3999999999995,24.31,82.87,467.44,180.00,0.78,-6.976117,107.630432
621,20:42:53,49.59999999999932,24.34,83.20,467.43,57.80,1.04,-6.976109,107.630424
621,20:43:03,52.79999999999914,24.34,83.03,467.44,0.00,1.00,-6.976046,107.630424
621,20:43:13,55.74999999999897,24.40,82.69,467.44,0.00,1.33,-6.975931,107.630416
621,20:43:23,56.84999999999891,24.39,82.37,467.44,322.33,1.26,-6.975815,107.630386
621,20:43:33,58.7499999999988,24.43,82.51,467.44,324.66,2.86,-6.975765,107.630348
621,20:43:43,61.74999999999863,24.44,83.58,467.45,324.66,2.86,-6.975765,107.630348
621,20:43:53,64.44999999999848,24.47,82.47,467.45,0.00,0.00,-6.975893,107.630378
621,20:44:03,67.6499999999983,24.46,82.24,467.45,0.00,0.00,-6.976049,107.630386
621,20:44:13,70.89999999999812,24.48,82.42,467.44,0.00,0.56,-6.976069,107.630348
621,20:44:23,74.09999999999793,24.51,82.82,467.45,0.00,0.56,-6.976069,107.630348
621,20:44:33,77.34999999999775,24.60,82.32,467.44,0.00,0.56,-6.976069,107.630348
621,20:44:43,80.34999999999758,24.58,81.86,467.44,0.00,1.67,-6.976006,107.630348
621,20:44:53,81.6999999999975,24.57,81.70,467.44,0.00,5.00,-6.975838,107.630348
621,20:45:03,82.24999999999747,24.51,81.86,467.43,357.40,2.71,-6.975597,107.630332
621,20:45:13,82.94999999999743,24.44,82.19,467.46,0.00,0.00,-6.975369,107.630310
621,20:45:23,85.54999999999728,24.44,82.42,467.47,326.51,1.60,-6.975325,107.630271
621,20:45:33,87.84999999999715,24.47,82.66,467.47,0.00,0.00,-6.975323,107.630310
621,20:45:43,90.449999999997,24.40,82.23,467.45,0.00,0.00,-6.975552,107.630310
621,20:45:53,92.89999999999687,24.39,82.28,467.44,180.00,2.78,-6.975856,107.630317
621,20:46:03,96.09999999999668,24.34,82.55,467.46,0.00,0.00,-6.976053,107.630310
621,20:46:13,99.3499999999965,24.27,82.64,467.45,161.69,2.46,-6.976084,107.630317
621,20:46:23,102.54999999999632,24.24,82.86,467.45,165.57,3.10,-6.976090,107.630317
621,20:46:33,105.79999999999613,24.23,83.03,467.46,165.57,3.10,-6.976090,107.630317
621,20:46:43,109.04999999999595,24.27,83.24,467.48,165.57,3.10,-6.976090,107.630317
621,20:46:53,112.24999999999577,24.31,83.87,467.46,165.57,3.10,-6.976090,107.630317
621,20:47:03,115.49999999999558,24.34,83.18,467.47,0.00,0.00,-6.976061,107.630325
621,20:47:13,117.79999999999545,24.40,82.63,467.47,0.00,4.23,-6.975872,107.630325
621,20:47:23,118.44999999999541,24.43,82.39,467.46,0.00,4.45,-6.975674,107.630332
621,20:47:33,118.84999999999539,24.44,82.31,467.46,0.00,2.11,-6.975635,107.630332
621,20:47:43,119.49999999999535,24.46,82.18,467.46,0.00,2.11,-6.975635,107.630332
621,20:47:53,120.64999999999529,24.47,82.24,467.47,180.00,8.90,-6.975608,107.630317
