header,ketinggian,temperature,kelembaban,tekanan,lintang,bujur,roll,pitch,yaw
OK,3.41,44.35,39.45,466.33,-6.975912,107.630241,10,5,261.60
OK,3.48,44.33,39.48,466.32,-6.975912,107.630241,12,3,251.80
OK,3.54,44.33,39.48,466.32,-6.975912,107.630241,12,1,247.20
OK,3.77,44.33,39.48,466.31,-6.975912,107.630241,10,2,247.30
OK,3.53,44.33,39.48,466.32,-6.975912,107.630241,11,3,250.70
OK,3.46,44.33,39.48,466.33,-6.975912,107.630241,11,2,252.40
OK,3.33,44.33,39.48,466.33,-6.975912,107.630241,10,2,253.30
OK,3.63,44.33,39.48,466.32,-6.975912,107.630241,10,2,253.30
OK,3.54,44.37,39.45,466.32,-6.975912,107.630241,6,0,251.60
OK,3.62,44.37,39.45,466.32,-6.975912,107.630241,6,0,250.70
OK,3.81,44.37,39.45,466.31,-6.975912,107.630241,4,0,249.80
OK,3.58,44.37,39.45,466.32,-6.975912,107.630241,5,-1,248.20
OK,3.26,44.37,39.45,466.34,-6.975910,107.630241,3,-3,247.30
OK,3.73,44.37,39.45,466.31,-6.975910,107.630241,1,-1,247.70
OK,3.57,44.37,39.46,466.32,-6.975910,107.630241,2,0,253.40
OK,3.55,44.37,39.46,466.32,-6.975910,107.630241,6,0,253.30
OK,3.51,44.37,39.46,466.32,-6.975910,107.630241,5,0,254.20
OK,3.05,44.37,39.46,466.35,-6.975910,107.630241,1,0,255.60
OK,3.24,44.37,39.46,466.34,-6.975908,107.630241,-2,2,261.00
OK,3.38,44.37,39.46,466.33,-6.975908,107.630241,-3,0,270.30
OK,3.65,44.37,39.46,466.32,-6.975908,107.630241,-1,-7,273.80
OK,3.94,44.37,39.46,466.30,-6.975908,107.630241,2,-7,260.40
OK,3.36,44.37,39.46,466.33,-6.975908,107.630241,3,-7,255.00
OK,3.57,44.37,39.46,466.32,-6.975908,107.630241,2,-1,250.80
OK,3.36,44.37,39.46,466.33,-6.975908,107.630241,2,-2,254.30
OK,3.29,44.37,39.46,466.34,-6.975906,107.630241,0,-4,255.70
OK,3.21,44.37,39.46,466.34,-6.975906,107.630241,3,-6,250.80
